GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     145.355 |  266.49730715 |             0.684 |          EVENT |
|     251.436 |  269.79978845 |             1.389 |         PHOTON |
|     607.392 |  280.38022989 |             0.424 |         PHOTON |
|      77.967 |  283.41929209 |             2.950 |         PHOTON |
|     305.209 |  286.84130242 |             2.070 |         PHOTON |
|     399.340 |  303.33849928 |             0.890 |         PHOTON |
|      62.414 |  311.84042183 |             1.737 |         PHOTON |
|     551.500 |  320.27235839 |             1.502 |          EVENT |
|     341.353 |  369.15359247 |             0.612 |          EVENT |
|     416.340 |  401.64241314 |             1.465 |          EVENT |
|     403.104 |  403.20055607 |             2.219 |         PHOTON |
|     267.830 |  408.40839496 |             2.901 |         PHOTON |
|      35.326 |  416.76147977 |             1.434 |         PHOTON |
|      46.625 |  422.53348005 |             2.295 |          EVENT |
|     244.482 |  450.67866838 |             0.829 |         PHOTON |
|      43.781 |  478.23508230 |             2.302 |          EVENT |
|      90.373 |  503.77875882 |             2.592 |          EVENT |
|     470.093 |  573.10691294 |             0.435 |         PHOTON |
|     174.196 |  601.55452946 |             0.202 |         PHOTON |
|     167.671 |  630.05118081 |             0.897 |          EVENT |
|     118.003 |  664.80257967 |             0.503 |         PHOTON |
|     172.145 |  676.12446052 |             2.668 |         PHOTON |
|     134.866 |  695.22274366 |             2.725 |          EVENT |
|     134.596 |  700.56200761 |             1.146 |          EVENT |
|      32.081 |  706.57243693 |             1.817 |          EVENT |
|     133.759 |  711.43283865 |             2.539 |         PHOTON |
|     146.728 |  730.15654013 |             0.512 |          EVENT |
|     261.335 |  901.40736151 |             0.931 |         PHOTON |
|     479.421 |  906.93007874 |             2.307 |          EVENT |
